sadness,[名]悲しみ
saint,[名]聖人、聖…
salmon,[名]サケ、鮭
salty,[形]塩気のある
satisfaction,[名]満足、喜び
satisfied,[形]満足した
scandal,[名]スキャンダル
scarcely,[副]ほとんど～ない
scare,[動]怖がらせる
scared,[形]おびえた
scatter,[動]まき散らす
scenery,[名]景色
scent,[名]香り
scheme,[名]基本構想、計画
scholar,[名]学者
scholarship,[名]学問、奨学金
scold,[動]叱る
scout,[名]偵察、スカウト
scratch,[動]ひっかく
seal,[名]封印
searching,[形]綿密な，徹底的な
secondary,[形]第二次的なもの
secretly,[副]ひそかに
sector,[名]部門、分野
secure,[動]安全を確保する
seize,[動]つかむ
sensation,[名]大評判
session,[名]開会、開廷
settlement,[名]解決、和解
severe,[形]激しい、深刻な
sew,[動]縫う
shallow,[形]浅い
shelter,[名]避難所、隠れ場
shepherd,[名]羊飼い
shield,[動]保護する，かばう 
shift,[名]変化、変更
shocked,[形]衝撃を受けた
shortage,[名]不足
shortly,[副]間もなく
sidewalk,[名]歩道
significant,[形]重要な、意義深い
sin,[名]罪
site,[名]現場、場所
skier,[名]スキーヤー
skillful,[形]熟練した
skip,[動]跳ねる
sleeve,[名]袖
slim,[形]ほっそりした
slipper,[名]スリッパ
smash,[動]粉砕する
snack,[名]軽食
snap,[動]パチンと鳴らす
software,[名]ソフトウェア
solution,[名]答え、解決策
sooner,[副]より早く
sorrow,[名]悲しみ、悲痛
source,[名]源、原因
southeast,[名]南東、南東部
southwest,[名]南西、南西部
spade,[名]すき
spark,[名]火花
species,[名]（生物の）種
spectacle,[名]光景，美観，壮観
spill,[動]こぼす、もらす
spiritual,[形]精神の
spite,[名]悪意
splendid,[形]素晴らしい
spokesman,[名]代弁者、スポークスマン
sponge,[名]スポンジ
sponsor,[名]スポンサー
spoonful,[名]さじ一杯
spray,[動]スプレーを吹きかける
squeeze,[動] 圧搾する
stable,[形]安定した
stake,[名]利害関係
stall,[名]小屋、露店
stare,[動]じっと見つめる
starve,[動]飢える
status,[名]地位、身分
steamer,[名]蒸気船
steep,[形]険しい
stem,[名]茎（くき）
stew,[名]シチュー
sticky,[形]ねばねばした
sting,[動]刺す
stir,[動]かき回す
stormy,[形]暴風の、激しい
strain,[名]緊張
strangely,[副]妙に、変に
strictly,[副]厳格に
striking,[形]目立つ
strip,[名]細長いきれ
strongly,[副]強く
stylist,[名]スタイリスト
submit,[動]提出する
substance,[名]物質
suburb,[名]郊外、近郊
summit,[名]頂、首脳会談
sunflower,[名]ヒマワリ
surrender,[名]降参、降伏
surrounding,[形]周囲の
survey,[動]調査する
sword,[名]剣、刀
sympathetic,[形]同情的な
tablespoon,[名]大さじ一杯
tame,[形]飼い慣らされた
task,[名]仕事
technological,[形]科学技術の
telling,[形]多くを語る、意味あり気な
temptation,[名]誘惑
tendency,[名]傾向
tender,[形]やわらかい
tense,[名]時制
tension,[名]緊張
territory,[名]領土、地域
terror,[名]恐怖、恐ろしさ
thickly,[副]厚く
thirst,[名]喉の渇き
thorough,[形]徹底的な、完全な
thoroughly,[副]完全に
thousandth,[形]千番目の
thrill,[動]わくわくさせる、感動させる
tide,[名]潮、潮流
tidy,[形]きちんとした
timely,[形]時宜を得た
token,[名]しるし
tomb,[名]墓
trace,[名]跡、痕跡
tractor,[名]牽引車、トラクター
trail,[名]跡、痕跡
trainer,[名]訓練する人
translation,[名]翻訳
transportation,[名]輸送、交通　
treatment,[名]待遇、扱い
treaty,[名]条約
tribe,[名]部族
triple,[動]3倍にする
triumph,[名]勝利、大成功
tropical,[形]熱帯の
turning,[名]回転、曲がり角
tutor,[名]家庭教師
uncertain,[形]不確実な
unclear,[形]はっきりしない
uncomfortable,[形]心地の悪い
underline,[動]強調する
undoubtedly,[副]疑いようもなく
unfortunately,[副]残念ながら
unite,[動]一体となる
united,[形]結合した、団結した
universal,[形]一般的な、普遍的な
unkind,[形]不親切な
unlikely,[形]ありそうもない
unnecessary,[形]無益な、不必要な
upright,[形]まっすぐ立った
upward,[形]上向きの
urge,[動]促す、勧める
urgent,[形]緊急の
vain,[形]うぬぼれの強い
van,[名]ワゴン車、バン
vanilla,[名]バニラ
vanish,[動]消える
variation,[名]変化
vary,[動]変化する
venture,[名]冒険的事業，投機的企業，ベンチャー 
verse,[名]韻文
version,[名]版、バージョン
vessel,[名]船
via,[前]～を通って
vice,[名]悪徳
villager,[名]村人
virtue,[名]美徳、徳
visible,[形]見える
