obituary,[名]死亡記事
oblique,[名]斜線
obstetrician,[名]産科医
obtrusive,[形]押しつけがましい
ode,[名]頌歌
offshoot,[名]副産物
ointment,[名]軟膏
omnipotent,[形]全能の
omniscient,[形]全知の
omnivorous,[形]雑食性の
oneness,[名]同一性
onerous,[形]煩わしい、面倒な
onlooker,[名]見物人
onus,[名]義務、負担、重荷
opinionated,[形]自説を固執する
optimal,[形]最良の
optimum,[名]最適条件
orator,[名]演説者、雄弁家
orchid,[名]ラン、ランの花
oscillate,[動]変動する
ostensible,[形]表向きの
ostentatious,[形]これみよがしの
ostracism,[名]追放
otter,[名]カワウソ
outlay,[名]支出、経費
outwit,[動]出し抜く
ovary,[名]卵巣
overbearing,[形]横柄な
overrate,[動]過大評価する
overtone,[名]ニュアンス 
oxide,[名]酸化物
pacify,[動]静める
padlock,[名]南京錠
pall,[名]棺，とばり
panacea,[名]万能薬
panhandle,[名]平なべの柄
parson,[名]聖職者
passbook,[名]銀行通帳
pathological,[形]病理学の
patter,[名]パタパタという音
peal,[名]響き
pedagogy,[名]教育学
pedantic,[形]学者ぶった
peddler,[名]行商人
peevish,[形]気難しい
pellet,[名]丸薬
pelt,[動]激しく降る 
pelvis,[名]骨盤
penance,[名]ざんげ
pensive,[形]考え込んでいる
peppery,[形]こしょうの味がする
perfunctory,[形]お座なりの
periphery,[名]周囲、末梢、周辺
periscope,[名]潜望鏡
permeate,[動]染み込む
perpendicular,[名]垂線
persimmon,[名]柿
pert,[形]生意気な
peruse,[動]熟読する
petulant,[形]怒りっぽい
pheasant,[名]キジ
phosphorus,[名]リン
physiology,[名]生理学
piecemeal,[名]少し
pigment,[名]色素
pike,[名]槍(やり)、ほこ
pilfer,[動]盗む
pillage,[名]略奪品
pique,[名]立腹
plaintive,[名]悲しげな（声）
plebiscite,[名]国民投票
plenary,[形]全員出席の
plethora,[名]過多、過剰
plod,[名]とぼとぼとした歩み
plumage,[名]羽
plumb,[名]おもり
polarize,[動]分裂させる、両極に分ける
polemic,[名]論争、反論
polyglot,[名]数か国語に通じた人
pomp,[名]華やかさ
pompous,[形]大げさな
ponderous,[形]重々しい
poppy,[名]ポピー
porous,[形]透過性の
posthumous,[形]死後の
postulate,[名]仮説
potassium,[名]カリウム
pounce,[名]急襲
pout,[名]不機嫌
precedence,[名]先行
precept,[名]教訓
precipice,[名]絶壁
precipitation,[名]落下、降水
precipitous,[形]険しい
predisposition,[名]傾向
premonition,[名]予告、徴候、前兆、予感
preponderance,[名]優勢
prerequisite,[名]前提条件
prerogative,[名]特権、大権
presage,[名]予感
prim,[形]堅苦しい、取り澄ました
primordial,[名]基本原理
privy,[形]内々関与して
procrastinate,[動]ぐずぐずする
prodigal,[名]浪費家
profusion,[名]大量
prognosis,[名]予測
projectile,[名]投射物
promiscuous,[形]乱雑な
promontory,[名]岬
propagate,[動]繁殖する
propensity,[名]傾向
prosaic,[形]平凡な
proscribe,[動]禁止する
prospectus,[名]案内書
prostrate,[動]うつぶせにする
protrude,[動]突き出す、突き出る
proviso,[名]条件
psalm,[名]賛美歌
puberty,[名]思春期
pungent,[形]刺激臭、辛辣な
purr,[名]のどを鳴らす音
quail,[名]ウズラ
quarantine,[名]検疫
quaver,[名]震音
quay,[名]埠頭
quench,[動]渇きを癒す
quorum,[名]定足数
rabies,[名]狂犬病
ramification,[名]分岐、支脈、結果
ransack,[動]ものを奪う
rapt,[形]没頭した、有頂天の
rasp,[名]しゃがれ声、耳障りな音
ratification,[名]批准
raze,[動]完全に破壊する、消す
rebuttal,[名]反証
recluse,[名]世捨人
recoil,[名]はね返り
recompense,[名]補償
recrimination,[名]非難し返すこと
recuperate,[動]回復する
redress,[名]救済、矯正、補償
reimburse,[動]払い戻す、返済する
reiterate,[動]繰り返す
rejoinder,[名]口答え
rejuvenate,[動]若返る
