seethe,[動]煮えくり返る
semantic,[形]語義に関する
senile,[形]老いぼれた
sentry,[名]歩哨、張り番
sequester,[動]隠退させる 
serum,[名]血清
serviceman,[名]軍人
servile,[形]奴隷の
sewerage,[名]下水
sheath,[名]鞘、さや状のもの
shifty,[形]ずるい
shin,[名]脛、すねの骨
shoal,[名]浅瀬
sieve,[名]ふるい、茶こし
sinew,[名]筋肉
skipper,[名]船長、主将
slacken,[動]緩める
slander,[名]中傷
slapstick,[名]どたばた喜劇
sleigh,[名]そり
slither,[名]すべること
slough,[名]泥地
slovenly,[形]だらしない
sluice,[名]水門
smolder,[名]くすぶる火
smudge,[名]汚れ
snip,[名]チョキンと切ること
snooze,[名]居眠り
sod,[名]芝、芝生
sodden,[動]びっしょり濡らす
soggy,[形]ずぶぬれの
sojourn,[名]滞在
solstice,[名]至、至点、最高点
solvent,[名]溶媒
sorcerer,[名]魔法使い
sortie,[名]出撃
spar,[動]軽く打つ，スパーリングする 
specious,[形]見掛け倒しの
spire,[名]とがり屋根、尖塔
sprig,[名]小枝
sprightly,[形]陽気な、活発な
sprite,[名]妖精
spruce,[動]身なりを整える
spurious,[形]偽造の、偽りの
squalid,[形]不潔な、惨めな
squalor,[名]不潔さ、みすぼらしさ
squat,[名]しゃがむこと
squatter,[名]無断居住者
squeamish,[形]気難しい
squid,[名]イカ
squirt,[動]噴出する
stag,[名]雄ジカ
stagnate,[動]停滞する
stallion,[名]種馬、種付け用の雄
stead,[名]代わり、助け、利益
stealthy,[形]ひそかな
stench,[名]悪臭
stenographer,[名]速記者
sterilize,[動]殺菌する
stocky,[形]がっしりした
stow,[動]しまい込む
stratum,[名]層
stricture,[名]非難，酷評，弾劾
stubble,[名]無精ひげ
stuffy,[形]風通しの悪い
stupendous,[形]驚くべき、並外れた
stupor,[名]無感覚、麻痺
subjugate,[動]征服する
subsistence,[名]生活、生計
substantiate,[動]立証する、実証する
subterranean,[形]地下の
subversion,[名]転覆、打倒、壊滅
succinct,[形]簡潔な
succulent,[名]多肉植物
suffocate,[動]窒息する
suffrage,[名]参政権、選挙
sulk,[名]不機嫌
sultan,[名]トルコ皇帝（スルタン）
sultry,[形]蒸し暑い
sundry,[形]種々さまざまの
superimpose,[動]重ね合わせる
supersede,[動]取って代わる
surly,[形]不機嫌な
susceptibility,[名]影響されやすいこと
swindle,[動]だまして金を取る
swine,[名]豚
synod,[名]教会会議
synopsis,[名]概要
syntax,[名]構文
