abbreviate,[動]短縮する
abort,[動]中止になる
abstraction,[名]抽象概念
absurdity,[名]ばかげた行為
acceleration,[名]加速度
acoustic,[名]音響学
activate,[動]活動的にする
actuality,[名]現実、実在
addicted,[形]常習的な
addictive,[形]習慣性の
adequacy,[名]適切さ
adherence,[名]執着，忠実
adjacent,[形]隣接する
admittance,[名]入場許可
admittedly,[副]明らかに
adorable,[形]愛らしい、魅力的な
adornment,[名]装飾品
adversity,[名]逆境
aerobic,[形]エアロビクスの
afar,[副]遠くに
affected,[形]影響を受けた
affirmation,[名]肯定、宣誓
affix,[動]添付する 
affluent,[形]豊富な
aggravate,[動]悪化させる
aggressor,[名]侵略者
agitate,[動]動揺させる
agonizing,[形]苦しい
ailment,[名]病気
akin,[形]類似して
alienate,[動]疎外する
alienation,[名]疎外感
allergic,[形]アレルギーの
allergy,[名]アレルギー
allocation,[名]割り当て
allot,[動]割り当てる
aloof,[形]離れて
alpine,[形]高山の
alternately,[副]交替で
amenity,[名]快適さ
amiable,[形]親しみやすい
amplify,[動]拡大する
analogous,[形]似ている
anarchist,[名]無政府主義者
anarchy,[名]政治的混乱、無秩序
anecdote,[名]逸話、秘話
angelic,[形]天使のような
animate,[動]生命を与える
animated,[形]生きているような
antiquity,[名]古いこと
anytime,[副]いつでも
apathy,[名]無感動、無関心、冷淡
apiece,[副]個々に
apprehend,[動]理解する
apprenticeship,[名]徒弟期間
aptitude,[名]才能、適性
aquatic,[形]水生の
archbishop,[名]大司教、大主教
armful,[名]腕一杯
artful,[形]巧妙な
assassin,[名]暗殺者
assassination,[名]暗殺
assertive,[形]断言的な
assimilate,[動]同化する
astray,[副]道に迷って
astronomical,[形]天文学的な
attest,[動]証明する
auditor,[名]会計検査官、聴講生
authoritarian,[名]権威主義者
automate,[動]自動化する
automotive,[形]自動車の
avalanche,[名]雪崩
avert,[動]そらす 
awesome,[形]畏敬の念に満ちた
badger,[名]アナグマ
banjo,[名]バンジョー
barbarism,[名]野蛮
barometer,[名]気圧計
barter,[動]物々交換する
battlefield,[名]戦場
beet,[名]ビート、ビートの根
behavioral,[形]行動の
bellboy,[名]ボーイ
beta,[名]ベータ
billiards,[名]ビリヤード
bin,[名]容器、貯蔵所
binder,[名]バインダー
biotechnology,[名]生物工学
bitch,[名]あばずれ女
bizarre,[形]奇怪な
blacken,[動]黒くする
blizzard,[名]大吹雪
blooming,[形]花が咲いている
boarder,[名]下宿人
boarding,[名]搭乗
bog,[動]動きが取れない
bomber,[名]爆撃手
bondage,[名]苦役、強制労役
bonfire,[名]たき火
boon,[名]恩恵、恵み
botanist,[名]植物学者
bottomless,[形]底なしの
boulder,[名]大きな丸い石
boulevard,[名]大通り
bowler,[名]ボウリングをする人
bran,[名]ぬか
breeder,[名]飼育者
breeding,[名]繁殖、教養
briefing,[名]簡潔な説明
broadcaster,[名]放送者
browse,[動]拾い読みする 
buck,[名]ドル
burdensome,[形]煩わしい
bust,[動]破産する
butler,[名]執事
cameraman,[名]映画・テレビの撮影技師
camouflage,[動]偽装を施す
canon,[名]戒律，規範
captivate,[動]魅了する
carefree,[形]心配のない
caretaker,[名]管理人
carol,[名]喜びの歌
carp,[名]鯉
casting,[名]鋳物
caterpillar,[名]イモムシ、キャタピラー
cauliflower,[名]カリフラワー
ceaseless,[形]絶え間のない
cedar,[名]ヒマラヤスギ
celestial,[形]天体の
censor,[名]検閲官
censorship,[名]検閲、検閲制度
centralize,[動]中心に集まる
champagne,[名]シャンパン
chant,[名]歌、聖歌
chauffeur,[名]運転手
cheeky,[形]生意気な
cheery,[形]上機嫌の、陽気な
childbirth,[名]出産
childless,[形]子供のない
cholesterol,[名]コレステロール
chronic,[形]慢性の、常習の
chronicle,[名]年代記、記録
chunk,[名]かなりの量
circumstantial,[形]状況の
cleanliness,[名]清潔
clearance,[名]清算、在庫一掃
clog,[動]詰まらせる
coastline,[名]海岸線
cocaine,[名]コカイン
coherence,[名]首尾一貫性
coke,[名]コカコーラ
collaborate,[動]協力する
collaboration,[名]協力
colon,[名]コロン
commemorate,[動]記念となる
commercialism,[名]営利主義
commune,[動]親しく交わる
communicator,[名]伝達者
compassionate,[形]情け深い
complacent,[形]自己満足の
comprehensible,[形]わかりやすい
compulsion,[名]衝動
compulsive,[形]強迫観念にとらわれた
computing,[形]コンピュータの
conceited,[形]うぬぼれの強い
condemnation,[名]非難
conditioner,[名]空気調節装置
conditioning,[名]調整、条件付け
conformity,[名]服従、従順
confound,[動]混乱させる
congenial,[形]気性の合った
congestion,[名]混雑
conjecture,[名]推測、判読
connected,[形]連結した、連続した
consolation,[名]慰め
constable,[名]治安官、巡査
constituency,[名]選挙民
constituent,[形]憲法制定の
contaminant,[名]汚染物質
contamination,[名]汚染
contemptuous,[形]人をばかにした
contention,[名]論点
contestant,[名]論争者、競争相手
contour,[形]等高を示す
contradictory,[形]矛盾した
converse,[形]逆の
conversely,[副]逆に
copyright,[名]著作権
cosmic,[形]宇宙の
cowardice,[名]臆病
crave,[動]切望する
credibility,[名]信用、信頼性
crescent,[名]三日月
crest,[名]鳥のとさか
