illegitimate,[形]違法の
illiteracy,[名]無学
illogical,[形]不合理な
immeasurable,[形]測ることのできない
immune,[形]免疫の
immunity,[名]免疫
impair,[動]損なう、弱める
impeach,[動]弾劾する
imperfection,[名]不完全、欠点
imperialism,[名]帝国主義
impotent,[形]無気力な
imprudent,[形]軽率な
inappropriate,[形]ふさわしくない
inborn,[形]生まれつきの
incidental,[形]偶然の，偶発の
incoherent,[形]一貫しない
incompatible,[形]両立しない
inconceivable,[形]想像も及ばない
inconclusive,[形]決定的でない
inconsistency,[名]不一致
incur,[動]（損害、傷などを）被る
indecent,[形]下品な
indefinitely,[副]無期限に
individualism,[名]個人主義、利己主義
inefficiency,[名]非能率
inescapable,[形]逃げられない
inexplicable,[形]説明のつかない
infer,[動]推測する
inference,[名]推論
inflammation,[名]燃焼、炎症
infrastructure,[名]基盤となる設備
infrequent,[形]まれな
infuriate,[動]激怒させる
infuse,[動]吹き込む
ingenuity,[名]発明の才
inhuman,[形]非人間的な
inning,[名]イニング
insecure,[形]不安定な
insecurity,[名]不安
insensitive,[形]感受性のない
insincere,[形]誠意のない
instantaneous,[形]即時の
interim,[名]合間
intermission,[名]休止
intern,[名]実習生、インターン
interrogate,[動]尋問する
interviewee,[名]インタビューされる人
intestine,[名]腸
intimidate,[動]怖がらせる
intolerance,[名]不寛容
intolerant,[形]耐えられない
intricacy,[名]複雑
intrigue,[動]陰謀を企てる
intrinsic,[形]本来備わっている
intuitive,[形]直覚的な
inventory,[名]在庫品
irrelevance,[名]不適切、的外れ
irresistible,[形]抵抗できない
irrigate,[動]水を引く
irrigation,[名]灌漑
italic,[名]イタリック体
jack,[名]起重機、ジャッキ
jackpot,[名]大当たり
janitor,[名]清掃作業員
jest,[名]冗談
jigsaw,[名]糸のこ
jointed,[形]関節のある
jot,[動]書き留めておく 
judiciary,[名]司法、裁判官
juggle,[動]空中に投げあげて受ける
justifiable,[形]正当と認められる
kidney,[名]腎臓
kindle,[動]火をつける
kiosk,[名]売店
knockout,[形]打撃が猛烈な
laborious,[形]骨の折れる
lamppost,[名]街灯柱
laser,[名]レーザー
latch,[名]掛け金
lavish,[形]気前の良い
layman,[名]素人
layoff,[動]解雇する
ledge,[名]棚、突起物
legislature,[名]立法府
legitimacy,[名]正当性
lengthy,[形]長い
lesbian,[名]同性愛の女性
lethal,[形]致命的な
liberalism,[名]自由主義
lifelike,[形]生きているような
lighthearted,[形]陽気な
lime,[名]石灰
linguist,[名]言語学者
linguistics,[名]言語学
lioness,[名]雌ライオン
loaded,[形]荷を積んだ
loading,[名]荷積み
localize,[動]限定する
longevity,[名]寿命
lordship,[名]支配権
lovable,[形]愛らしい
loyalist,[名]忠臣
lucrative,[形]儲かる
lukewarm,[形]なまぬるい
lyrical,[形]感情豊かな，興奮的な
madden,[動]激怒させる
malicious,[形]悪意のある
maneuver,[動]巧みに操縦する
manifesto,[名]具体的な公約
manipulate,[動]操作する
manipulation,[名]操作
mare,[名]雌馬、雌ロバ
marijuana,[名]マリファナ
marital,[形]結婚の
martial,[形]戦争の
massacre,[名]大虐殺
materialistic,[形]物質主義の
maternal,[形]母の
matrix,[名]数列、数学の行列
maxim,[名]格言
maximize,[動]最大にする
mayonnaise,[名]マヨネーズ
meager,[形]乏しい
