cousin,[名]いとこ 
cowboy,[名]カウボーイ 
crash,[名]衝突、墜落 
crazy,[形]気が狂った 
cream,[名]クリーム 
create,[動]創造する 
creation,[名]創造、作品 
crew,[名]乗組員、チーム 
cross,[名]十字架、十字形 
crowd,[名]群衆、人込み 
crowded,[形]混雑した 
crown,[名]冠、王冠 
culture,[名]文化 
curtain,[名]カーテン 
curve,[名]曲線、屈曲 
custom,[名]慣習、伝統 
customer,[名]顧客 
cycle,[名]周期、循環 
daily,[形]毎日の、日課の 
damage,[名]損害、被害 
dancer,[名]踊る人 
dancing,[名]踊り 
danger,[名]危険 
dare,[名]挑戦 
deaf,[形]耳が不自由な 
deal,[動]処理する、扱う 
decision,[名]決断 
deeply,[副]深く、非常に 
defend,[動]守る 
defense,[名]防衛、防御 
degree,[名]程度 
deliver,[動]配達する 
demand,[動]要求する 
dentist,[名]歯医者 
deny,[動]拒否する 
depend,[動]あてにする、頼る 
depth,[名]深さ 
describe,[動]描写する 
desert,[名]砂漠 
design,[名]デザイン、設計 
designer,[名]デザイナー 
destroy,[動]破壊する 
detail,[名]詳細 
develop,[動]発展させる 
dial,[名]文字盤 
diamond,[名]ダイヤモンド 
difference,[名]違い 
difficulty,[名]難しさ、困難 
dig,[動]掘る 
direct,[動]指揮する 
direction,[名]方向、方角 
directly,[副]直接に、まっすぐに 
disappear,[動]見えなくなる、姿を消す 
discount,[動]割引する 
discuss,[動]話し合う、議論する 
discussion,[名]議論、話し合い 
disease,[名]病気 
disk,[名]ディスク 
dislike,[動]嫌う 
distance,[名]距離、遠い地点 
distant,[形]遠い 
district,[名]地区、地域 
divide,[動]分ける、分割する 
double,[形]2倍の 
doubt,[動]疑う 
downstairs,[名]階下へ 
downtown,[名]繁華街 
dozen,[名]ダース、12個 
drama,[名]演劇、ドラマ 
drill,[動]ドリルで穴を開ける 
drinking,[名]飲酒 
drown,[動]溺れる、溺れ死ぬ 
drug,[名]薬物、薬 
drunk,[形]酔って 
dust,[名]ほこり、ちり 
duty,[名]義務、任務 
earn,[動]稼ぐ 
earring,[名]イヤリング 
easily,[副]容易に、楽に 
edge,[名]端、へり 
educate,[動]教育する、指導する 
education,[名]教育 
effect,[名]影響、結果 
effort,[名]努力、骨折り 
eighteenth,[名]18番目 
eighth,[名]8番目 
eightieth,[名]80番目 
elbow,[名]肘（ひじ） 
elder,[形]年長者の 
electric,[形]電気の 
electricity,[名]電気、電力 
elevator,[名]エレベーター 
eleventh,[名]11番目、11日 
empty,[形]空の 
ending,[名]端、終わり 
enemy,[名]敵 
energy,[名]活力、エネルギー 
engine,[名]エンジン 
engineer,[名]技師、工学者 
entrance,[名]入り口 
