hurt,[動]痛める
husband,[名]夫
I,[代]私
ice,[名]氷
idea,[名]考え、意見
if,[接]もし～ならば
ill,[形]病気で
important,[形]重要な
in,[前]中の
inside,[副]中へ
interest,[名]興味、関心
interested,[形]興味がある
interesting,[形]興味深い、面白い
into,[前]中へ
invite,[動]招く
is,[動]…である
island,[名]島
it,[代]それは、それを
its,[代]itの所有格
jam,[名]ジャム
January,[名]1月
job,[名]仕事
join,[動]参加する、加わる
joke,[名]冗談
joy,[名]喜び
juice,[名]ジュース
July,[名]7月
jump,[動]飛び上がる
June,[名]6月
junior,[形]年少の
just,[副]まさに、ちょうど
keep,[動]保持する
key,[名]鍵
kick,[動]蹴る
kid,[名]子供
kill,[動]殺す
kind,[形]親切な、優しい
king,[名]王、国王
kiss,[動]キスをする
kitchen,[名]台所
knee,[名]ひざ
knife,[名]ナイフ
know,[動]知る
lady,[名]婦人、女性
lake,[名]湖、泉水
land,[名]陸、陸地
language,[名]言語
large,[形]大きな、多い
last,[形]最後の、最終の
late,[形]遅い、遅れた
later,[副]あとで
laugh,[動]笑う
leaf,[名]葉
learn,[動]学ぶ、習う
leave,[動]去る、出発する
left,[形]左の、左側の
leg,[名]脚、足
lesson,[名]授業、お稽古
let,[動]許す、～させる
letter,[名]手紙
level,[形]水平な、平らな
library,[名]図書館
life,[名]生活、人生
light,[名]光、灯り
like,[動]好む、好き
line,[名]線
lion,[名]ライオン
lip,[名]唇
list,[名]一覧表、リスト
listen,[動]聞く
little,[形]少し、小さい
live,[動]住む、生きる
long,[形]長い
look,[動]見る
lose,[動]負ける、失う
love,[名]愛、愛情
low,[形]低い
lucky,[形]幸運な、まぐれの
lunch,[名]昼食
machine,[名]機械
magazine,[名]雑誌
mail,[名]郵便
make,[動]作る
man,[名]男
many,[形]多い
map,[名]地図
March,[名]3月
market,[名]市場
marry,[動]結婚する
master,[名]達人、名人
matter,[名]問題
may,[助]許可、推量を表す助動詞
me,[代]Iの目的格
meal,[名]食事
mean,[動]意味する
meat,[名]肉
meet,[動]会う
meeting,[名]会議
member,[名]メンバー、会員
memory,[名]記憶（力）、思い出
men,[名]男の複数形
meter,[名]メートル、測定
middle,[形]真ん中の
midnight,[名]真夜中、まっ暗やみ
mile,[名]マイル
milk,[名]牛乳、ミルク
mind,[名]心、精神
mine,[代]私のもの
minute,[名]分
mirror,[名]鏡
miss,[動]乗りそこなう
mistake,[名]間違い、誤り
Monday,[名]月曜日
money,[名]お金、貨幣
monkey,[名]サル
month,[名]月、ひと月
moon,[名]月、月光
more,[形]より多くの
morning,[名]朝
most,[形]大部分は
mother,[名]母親
mountain,[名]山
mouse,[名]（ハツカ）ネズミ
mouth,[名]口
move,[動]動く、移動させる
movie,[名]映画
Mr.,[名]…様，…さん
Mrs.,[名](既婚の女性）～夫人
Ms.,[名]～さん、～先生
much,[形]たくさんの
museum,[名]博物館
